web-scraper-order,web-scraper-start-url,Prix,Nom,Adresse,Image,Image-href
"1752751708-26,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Chiot boxer"",""Fann, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiot-boxer-1935386"""
"1752751708-27,""https://sn.coinafrique.com/categorie/chiens?page=10"",""300 000CFA"",""Chiens Malinois"",""Dakar Plateau, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiens-malinois-1904735"""
"1752751708-28,""https://sn.coinafrique.com/categorie/chiens?page=10"",""50 000CFA"",""Métisse chiots rottweiler"",""Mermoz-Sacré-Cœur, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/metisse-chiots-rottweiler-1890049"""
"1752751708-29,""https://sn.coinafrique.com/categorie/chiens?page=10"",""200 000CFA"",""Labrador"",""Yoff, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/labrador-1869479"""
"1752751708-30,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Bulldog anglais"",""Fann, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/bulldog-anglais-1862159"""
"1752751708-31,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Femelle dogue de Bordeaux"",""Fann, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/femelle-dogue-de-bordeaux-1862155"""
"1752751708-32,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Chiots Dogue allemand"",""Fann, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-dogue-allemand-1862148"""
"1752751708-33,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Chiots pékinois pure race"",""Fann, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-pekinois-pure-race-1862142"""
"1752751708-34,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Chiots Shiba inu"",""Fann, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-shiba-inu-1862112"""
"1752751708-35,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Chiots Spitz nain pomeranian"",""Fann, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-spitz-nain-pomeranian-1862107"""
"1752751708-36,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Caniches"",""Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/caniches-1840583"""
"1752751708-37,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Chien Dogue Allemand"",""Yoff, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chien-dogue-allemand-1840570"""
"1752751708-38,""https://sn.coinafrique.com/categorie/chiens?page=10"",""350 000CFA"",""Doberman pure souche"",""Yoff, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/doberman-pure-souche-1803179"""
"1752751708-39,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Chien Bichon"",""Ouakam, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chien-bichon-1733519"""
"1752751708-40,""https://sn.coinafrique.com/categorie/chiens?page=10"",""600 000CFA"",""Cani corso"",""Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/cani-corso-1716117"""
"1752751708-41,""https://sn.coinafrique.com/categorie/chiens?page=10"",""175 000CFA"",""Chiot berger belge malinois"",""Pikine, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-belge-malinois-1628361"""
"1752751708-42,""https://sn.coinafrique.com/categorie/chiens?page=10"",""400 000CFA"",""Doberman"",""Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/doberman-1621541"""
"1752751708-43,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Pékinois"",""Fann, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/pekinois-1592664"""
"1752751708-44,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Doberman lignée européenne"",""Fann, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/doberman-lignee-europeenne-1592645"""
"1752751708-45,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Spitz pomperanian nain"",""Fann, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/spitz-pomperanian-nain-1592536"""
"1752751708-46,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Chiot Spitz nain"",""Fann, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiot-spitz-nain-1571895"""
"1752751708-47,""https://sn.coinafrique.com/categorie/chiens?page=10"",""Prix sur demande"",""Chiots Hight quality husky Sibérien"",""Fann, Dakar, Sénégal"",""favorite_border5années"",""https://sn.coinafrique.com/annonce/chiens/chiots-hight-quality-husky-siberien-1568103"""
