web-scraper-order,web-scraper-start-url,Prix,Nom,Adresse,Image,Image-href
"1752751725-205,""https://sn.coinafrique.com/categorie/chiens?page=8"",""Prix sur demande"",""Chiots Pékinois"",""Fann, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-pekinois-3086369"""
"1752751725-206,""https://sn.coinafrique.com/categorie/chiens?page=8"",""150CFA"",""Chiots Pitbull"",""Bargny, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-3085151"""
"1752751725-207,""https://sn.coinafrique.com/categorie/chiens?page=8"",""130 000CFA"",""Chiot Pitbull"",""Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-3083215"""
"1752751725-208,""https://sn.coinafrique.com/categorie/chiens?page=8"",""350 000CFA"",""Chiots Bichon Maltais"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichon-maltais-3079960"""
"1752751725-209,""https://sn.coinafrique.com/categorie/chiens?page=8"",""200 000CFA"",""Chiot Bichon"",""Mbao, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-3076436"""
"1752751725-210,""https://sn.coinafrique.com/categorie/chiens?page=8"",""150 000CFA"",""Chiot berger allemand mâle"",""Hann Bel-Air, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-male-3064744"""
"1752751725-211,""https://sn.coinafrique.com/categorie/chiens?page=8"",""450 000CFA"",""Chiot Boerboel"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-boerboel-3057395"""
"1752751725-212,""https://sn.coinafrique.com/categorie/chiens?page=8"",""400 000CFA"",""Chiot femelle Yorkshire"",""Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-femelle-yorkshire-3045523"""
"1752751725-213,""https://sn.coinafrique.com/categorie/chiens?page=8"",""150 000CFA"",""Chiots Bergers Allemands"",""Rufisque, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bergers-allemands-3035100"""
"1752751725-214,""https://sn.coinafrique.com/categorie/chiens?page=8"",""450 000CFA"",""Chiot Husky"",""Dakar Plateau, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-husky-3032898"""
"1752751725-215,""https://sn.coinafrique.com/categorie/chiens?page=8"",""150CFA"",""Chiot pitbull"",""Mamelles, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-3025431"""
"1752751725-216,""https://sn.coinafrique.com/categorie/chiens?page=8"",""200CFA"",""Chiot couple teckel"",""Yoff, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-couple-teckel-3023422"""
"1752751725-217,""https://sn.coinafrique.com/categorie/chiens?page=8"",""150 000CFA"",""Chiots Bergers Allemands"",""Pikine, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bergers-allemands-3018685"""
"1752751725-218,""https://sn.coinafrique.com/categorie/chiens?page=8"",""210 000CFA"",""Chien Bijon Malté"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chien-bijon-malte-3012169"""
"1752751725-219,""https://sn.coinafrique.com/categorie/chiens?page=8"",""450 000CFA"",""Chiot cane corso"",""Colobane, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-cane-corso-3005863"""
"1752751725-220,""https://sn.coinafrique.com/categorie/chiens?page=8"",""Prix sur demande"",""Berger belge malinois"",""Mamelles, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/berger-belge-malinois-3005565"""
"1752751725-221,""https://sn.coinafrique.com/categorie/chiens?page=8"",""450 000CFA"",""Chiot Labrador"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-labrador-3005026"""
"1752751725-222,""https://sn.coinafrique.com/categorie/chiens?page=8"",""Prix sur demande"",""Chien cane corso"",""Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chien-cane-corso-2996181"""
"1752751725-223,""https://sn.coinafrique.com/categorie/chiens?page=8"",""Prix sur demande"",""Chiots Cane Corso"",""Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-2996177"""
"1752751725-224,""https://sn.coinafrique.com/categorie/chiens?page=8"",""300 000CFA"",""Chiots Rottweiler"",""Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-2978927"""
"1752751725-225,""https://sn.coinafrique.com/categorie/chiens?page=8"",""400 000CFA"",""Chiots boerboels purebreed"",""Thies, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-boerboels-purebreed-2974090"""
"1752751725-226,""https://sn.coinafrique.com/categorie/chiens?page=8"",""Prix sur demande"",""Chiots bichons maltais pure race"",""Mbao, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichons-maltais-pure-race-2972487"""
"1752751725-227,""https://sn.coinafrique.com/categorie/chiens?page=8"",""150 000CFA"",""Chiots"",""Hann Bel-Air, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-2965558"""
"1752751725-228,""https://sn.coinafrique.com/categorie/chiens?page=8"",""Prix sur demande"",""Chiot Husky 4mois femelle"",""Mbao, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-husky-4mois-femelle-2962156"""
"1752751725-229,""https://sn.coinafrique.com/categorie/chiens?page=8"",""300 000CFA"",""Chiot boerboel"",""HLM, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-boerboel-2957371"""
"1752751725-230,""https://sn.coinafrique.com/categorie/chiens?page=8"",""230 000CFA"",""Chiots Malinois"",""Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-malinois-2951762"""
"1752751725-231,""https://sn.coinafrique.com/categorie/chiens?page=8"",""250 000CFA"",""Chiots malinois"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-malinois-2951499"""
"1752751725-232,""https://sn.coinafrique.com/categorie/chiens?page=8"",""300 000CFA"",""Chien Pitbull femelle"",""Saint Louis, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chien-pitbull-femelle-2950286"""
"1752751725-233,""https://sn.coinafrique.com/categorie/chiens?page=8"",""500 000CFA"",""Chien"",""Mbao, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chien-2949981"""
"1752751725-234,""https://sn.coinafrique.com/categorie/chiens?page=8"",""300 000CFA"",""Chiots Malinois"",""Grand Yoff, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-malinois-2946384"""
"1752751725-235,""https://sn.coinafrique.com/categorie/chiens?page=8"",""175 000CFA"",""Chiot berger allemand / husky"",""Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-husky-2945713"""
"1752751725-236,""https://sn.coinafrique.com/categorie/chiens?page=8"",""160 000CFA"",""Berger femelle"",""Dieuppeul-Derklé, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/berger-femelle-2939379"""
"1752751725-237,""https://sn.coinafrique.com/categorie/chiens?page=8"",""150 000CFA"",""Chiots bolognais"",""Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bolognais-2932610"""
"1752751725-238,""https://sn.coinafrique.com/categorie/chiens?page=8"",""170 000CFA"",""Chien Pitbull"",""Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chien-pitbull-2927795"""
"1752751725-239,""https://sn.coinafrique.com/categorie/chiens?page=8"",""165 000CFA"",""Chiots Berger Allemand"",""Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-2923824"""
"1752751725-240,""https://sn.coinafrique.com/categorie/chiens?page=8"",""450 000CFA"",""Chiot husky"",""Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-husky-2922209"""
"1752751725-241,""https://sn.coinafrique.com/categorie/chiens?page=8"",""450 000CFA"",""Chiot Husky"",""Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-husky-2922194"""
"1752751725-242,""https://sn.coinafrique.com/categorie/chiens?page=8"",""250 000CFA"",""Chiot Rottweiler"",""Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-2920881"""
"1752751725-243,""https://sn.coinafrique.com/categorie/chiens?page=8"",""100 000CFA"",""Caniches"",""Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/caniches-2913795"""
"1752751725-244,""https://sn.coinafrique.com/categorie/chiens?page=8"",""400 000CFA"",""Chien Pitbull"",""Hann Bel-Air, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chien-pitbull-2898017"""
"1752751725-245,""https://sn.coinafrique.com/categorie/chiens?page=8"",""175 000CFA"",""Chiot pitbull"",""Saint Louis, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-2896747"""
"1752751725-246,""https://sn.coinafrique.com/categorie/chiens?page=8"",""200 000CFA"",""Chiots Bichons Spitz Royal"",""Saly, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichons-spitz-royal-2890179"""
"1752751725-247,""https://sn.coinafrique.com/categorie/chiens?page=8"",""Prix sur demande"",""Chiot rottweiller"",""Grand Dakar, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-rottweiller-2882667"""
"1752751725-248,""https://sn.coinafrique.com/categorie/chiens?page=8"",""111 111 111 111 111 000CFA"",""Chiot Bichon"",""Ouakam, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-2877719"""
"1752751725-249,""https://sn.coinafrique.com/categorie/chiens?page=8"",""200 000CFA"",""Chiots Labrador"",""Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiots-labrador-2877490"""
"1752751725-250,""https://sn.coinafrique.com/categorie/chiens?page=8"",""180 000CFA"",""Chiot berger allemand"",""Guediawaye, Dakar, Sénégal"",""favorite_border4années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-2864271"""
"1752751733-251,""https://sn.coinafrique.com/categorie/chiens?page=7"",""200 000CFA"",""Chien Husky Berger"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-husky-berger-3567601"""
"1752751733-252,""https://sn.coinafrique.com/categorie/chiens?page=7"",""200 000CFA"",""Caniches"",""Yoff, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/caniches-3564716"""
"1752751733-253,""https://sn.coinafrique.com/categorie/chiens?page=7"",""150 000CFA"",""Chiots malinois"",""Almadies, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-malinois-3560042"""
"1752751733-254,""https://sn.coinafrique.com/categorie/chiens?page=7"",""200 000CFA"",""Chien Rottweiler"",""Dakar Plateau, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-rottweiler-3559497"""
"1752751733-255,""https://sn.coinafrique.com/categorie/chiens?page=7"",""130 000CFA"",""Femelle pitt"",""Saint Louis, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/femelle-pitt-3555055"""
"1752751733-256,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chien"",""Saint Louis, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-3554069"""
"1752751733-257,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chiots berger allemand"",""Mbao, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-3542781"""
"1752751733-258,""https://sn.coinafrique.com/categorie/chiens?page=7"",""200 000CFA"",""Chiot Caniche"",""Guediawaye, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-caniche-3539780"""
"1752751733-259,""https://sn.coinafrique.com/categorie/chiens?page=7"",""150 000CFA"",""Chien Dogue Allemand croisé Berger"",""Dakar Plateau, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-dogue-allemand-croise-berger-3538695"""
"1752751733-260,""https://sn.coinafrique.com/categorie/chiens?page=7"",""150 000CFA"",""Chiot Amstaff"",""Mamelles, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-amstaff-3538182"""
"1752751733-261,""https://sn.coinafrique.com/categorie/chiens?page=7"",""500 000CFA"",""Dalmatien"",""Cambérène, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/dalmatien-3535198"""
"1752751733-262,""https://sn.coinafrique.com/categorie/chiens?page=7"",""110 000CFA"",""Chien Pitbull mâle"",""Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-pitbull-male-3532010"""
"1752751733-263,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chiots malinois"",""Rufisque, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-malinois-3528607"""
"1752751733-264,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chiot Bulldog Français"",""Point E, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bulldog-francais-3526979"""
"1752751733-265,""https://sn.coinafrique.com/categorie/chiens?page=7"",""200 000CFA"",""Chien malinois"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-malinois-3526946"""
"1752751733-266,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chiots Samoyede"",""Fann-Point E-Amitié, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-samoyede-3523984"""
"1752751733-267,""https://sn.coinafrique.com/categorie/chiens?page=7"",""150 000CFA"",""Pitbull"",""Guediawaye, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/pitbull-3523897"""
"1752751733-268,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chiots Bichons Maltais"",""Mbao, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichons-maltais-3518812"""
"1752751733-269,""https://sn.coinafrique.com/categorie/chiens?page=7"",""600 000CFA"",""Husky blanc sibérie"",""Dakar Plateau, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/husky-blanc-siberie-3515349"""
"1752751733-270,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chien"",""Rufisque, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-3512030"""
"1752751733-271,""https://sn.coinafrique.com/categorie/chiens?page=7"",""200 000CFA"",""Chiots caniches"",""Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-caniches-3509769"""
"1752751733-272,""https://sn.coinafrique.com/categorie/chiens?page=7"",""150 000CFA"",""Chiots"",""Mbour, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-3508870"""
"1752751733-273,""https://sn.coinafrique.com/categorie/chiens?page=7"",""200 000CFA"",""Chiot Rottweiler"",""Keur Massar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-3508376"""
"1752751733-274,""https://sn.coinafrique.com/categorie/chiens?page=7"",""130 000CFA"",""Chien Pitbull"",""Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-pitbull-3507395"""
"1752751733-275,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chiot bichon maltais"",""Mbao, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-3499830"""
"1752751733-276,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chiots Pékinois"",""Fann-Point E-Amitié, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-pekinois-3498824"""
"1752751733-277,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chiots Doberman"",""Fann-Point E-Amitié, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-doberman-3495193"""
"1752751733-278,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chiots Bichons maltais"",""Mbao, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bichons-maltais-3489697"""
"1752751733-279,""https://sn.coinafrique.com/categorie/chiens?page=7"",""260 000CFA"",""Chiots labrador mâle"",""Guediawaye, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-labrador-male-3489190"""
"1752751733-280,""https://sn.coinafrique.com/categorie/chiens?page=7"",""250 000CFA"",""Chiot Caniche"",""Grand Yoff, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-caniche-3486056"""
"1752751733-281,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chiots Carlin"",""Fann-Point E-Amitié, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-carlin-3482498"""
"1752751733-282,""https://sn.coinafrique.com/categorie/chiens?page=7"",""350 000CFA"",""Chien"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-3480830"""
"1752751733-283,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chiot bichons maltais"",""Mbao, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichons-maltais-3480182"""
"1752751733-284,""https://sn.coinafrique.com/categorie/chiens?page=7"",""400 000CFA"",""Chien Husky"",""Dakar Plateau, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-husky-3474340"""
"1752751733-285,""https://sn.coinafrique.com/categorie/chiens?page=7"",""350 000CFA"",""Chien Pittbull"",""Dakar Plateau, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-pittbull-3474335"""
"1752751733-286,""https://sn.coinafrique.com/categorie/chiens?page=7"",""165 000CFA"",""Chiot berger allemand"",""Cambérène, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-3460832"""
"1752751733-287,""https://sn.coinafrique.com/categorie/chiens?page=7"",""130 000CFA"",""Chiot Berger Allemand"",""Thies, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-3450883"""
"1752751733-288,""https://sn.coinafrique.com/categorie/chiens?page=7"",""350 000CFA"",""Chiot labrador"",""Guediawaye, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-labrador-3449348"""
"1752751733-289,""https://sn.coinafrique.com/categorie/chiens?page=7"",""350 000CFA"",""Chien Husky Siberien"",""Dakar Plateau, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-husky-siberien-3443483"""
"1752751733-290,""https://sn.coinafrique.com/categorie/chiens?page=7"",""350 000CFA"",""Chien Husky Siberien"",""Dakar Plateau, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-husky-siberien-3443479"""
"1752751733-291,""https://sn.coinafrique.com/categorie/chiens?page=7"",""250 000CFA"",""Chiot pitbull"",""Hann Bel-Air, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-3442911"""
"1752751733-292,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chiot bichon maltais"",""Mbao, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-3428785"""
"1752751733-293,""https://sn.coinafrique.com/categorie/chiens?page=7"",""170 000CFA"",""Chien pitbull mâle"",""Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-pitbull-male-3426533"""
"1752751733-294,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chiot"",""Yoff, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-3424026"""
"1752751733-295,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chiots"",""Yoff, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-3423235"""
"1752751733-296,""https://sn.coinafrique.com/categorie/chiens?page=7"",""200 000CFA"",""Chien bichon maltais mâle"",""Almadies, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-bichon-maltais-male-3412462"""
"1752751733-297,""https://sn.coinafrique.com/categorie/chiens?page=7"",""170 000CFA"",""Chiot bichon"",""Mermoz-Sacré Coeur, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-3410404"""
"1752751733-298,""https://sn.coinafrique.com/categorie/chiens?page=7"",""75 000CFA"",""Chiot Cairn Terrier"",""Mamelles, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-cairn-terrier-3403879"""
"1752751733-299,""https://sn.coinafrique.com/categorie/chiens?page=7"",""175 000CFA"",""Chiots bergers allemands"",""Keur Massar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-bergers-allemands-3401220"""
"1752751733-300,""https://sn.coinafrique.com/categorie/chiens?page=7"",""300 000CFA"",""Chiot Cockers"",""Guediawaye, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-cockers-3392834"""
"1752751733-301,""https://sn.coinafrique.com/categorie/chiens?page=7"",""150 000CFA"",""Chiot berger allemand pur-sang"",""Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-pur-sang-3386631"""
"1752751733-302,""https://sn.coinafrique.com/categorie/chiens?page=7"",""115 000CFA"",""Chiot labrador"",""Point E, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-labrador-3384914"""
"1752751733-303,""https://sn.coinafrique.com/categorie/chiens?page=7"",""175CFA"",""Chiots berger allemand"",""Parcelle Assainies, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-3378709"""
"1752751733-304,""https://sn.coinafrique.com/categorie/chiens?page=7"",""175CFA"",""Chiots berger allemand"",""Parcelle Assainies, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-3378644"""
"1752751733-305,""https://sn.coinafrique.com/categorie/chiens?page=7"",""220CFA"",""Femelle berger"",""Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/femelle-berger-3376533"""
"1752751733-306,""https://sn.coinafrique.com/categorie/chiens?page=7"",""150 000CFA"",""Chiot berger allemand"",""Keur Massar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-3368938"""
"1752751733-307,""https://sn.coinafrique.com/categorie/chiens?page=7"",""150 000CFA"",""Pitbull pur-sang"",""Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/pitbull-pur-sang-3368452"""
"1752751733-308,""https://sn.coinafrique.com/categorie/chiens?page=7"",""300 000CFA"",""Chiot pitbull"",""Rufisque, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-3367797"""
"1752751733-309,""https://sn.coinafrique.com/categorie/chiens?page=7"",""300 000CFA"",""Chien berger belge malinois"",""Rufisque, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-berger-belge-malinois-3366373"""
"1752751733-310,""https://sn.coinafrique.com/categorie/chiens?page=7"",""450 000CFA"",""Chiots boerboels"",""Thies, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-boerboels-3366238"""
"1752751733-311,""https://sn.coinafrique.com/categorie/chiens?page=7"",""300 000CFA"",""Chiot Bichon maltais"",""Sicap Liberté, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-3358891"""
"1752751733-312,""https://sn.coinafrique.com/categorie/chiens?page=7"",""100 000CFA"",""Chiots berger allemand"",""Hann Bel-Air, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-3348655"""
"1752751733-313,""https://sn.coinafrique.com/categorie/chiens?page=7"",""150 000CFA"",""Chiot"",""Parcelle Assainies, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiot-3347884"""
"1752751733-314,""https://sn.coinafrique.com/categorie/chiens?page=7"",""109 000CFA"",""Chien berger allemand"",""Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-3338576"""
"1752751733-315,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chien Pembroke Welch Corgi"",""Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chien-pembroke-welch-corgi-3338430"""
"1752751733-316,""https://sn.coinafrique.com/categorie/chiens?page=7"",""40 000CFA"",""Chiots"",""Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-3317614"""
"1752751733-317,""https://sn.coinafrique.com/categorie/chiens?page=7"",""40 000CFA"",""Chiots"",""Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-3314578"""
"1752751733-318,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Chiots"",""Thies, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/chiots-3309512"""
"1752751733-319,""https://sn.coinafrique.com/categorie/chiens?page=7"",""Prix sur demande"",""Bichon maltais"",""Almadies, Dakar, Sénégal"",""favorite_border3années"",""https://sn.coinafrique.com/annonce/chiens/bichon-maltais-3304212"""
