web-scraper-order,web-scraper-start-url,Prix,Nom,Adresse,Image,Image-href
"1752762973-26","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","10 000CFA","Lapin nain noir adulte","Médina, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-nain-noir-adulte-878312"
"1752762973-27","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","70 000CFA","Femelle GDF 4 mois","Médina, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-gdf-4-mois-862099"
"1752762973-28","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","800CFA","Race bleu d' hollande","Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/race-bleu-d-hollande-858710"
"1752762973-29","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","15 000CFA","Coq et poussins bleus","Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-et-poussins-bleus-855420"
"1752762973-30","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","7 000CFA","Lapin Buchka","Yoff, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-buchka-848961"
"1752762973-31","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","5 000CFA","Coqs Brahmane","Thies Ouest, Thiès, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coqs-brahmane-841858"
"1752762973-32","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","2 000CFA","Poulet de chair","Guediawaye, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-798654"
"1752762973-33","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","40 000CFA","Lapins","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-774940"
"1752762973-34","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","70 000CFA","Lapin géant","Mbour, Sénégal","favorite_border6années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-761183"
"1752762973-35","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Prix sur demande","Lapins et lapereaux angora Californien","Médina, Dakar, Sénégal","favorite_border6années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-et-lapereaux-angora-californien-729715"
"1752762973-36","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","3 000CFA","Poulet de chair","Grand Yoff, Dakar, Sénégal","favorite_border6années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-729710"
"1752762973-37","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Prix sur demande","Lapins et lapereaux Angora Californien","Medina, Dakar, Sénégal","favorite_border6années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-et-lapereaux-angora-californien-729692"
"1752762976-38","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","15 000CFA","Lapins","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-2229912"
"1752762976-39","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","15 000CFA","Lapins Angora française","HLM, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-angora-francaise-2223516"
"1752762976-40","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","20 000CFA","Lapin","Parcelle Assainies, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-2221541"
"1752762976-41","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","15 000CFA","Lapin","Parcelle Assainies, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-2221308"
"1752762976-42","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","2 500CFA","poulet","Parcelle Assainies, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-2218341"
"1752762976-43","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","35 000CFA","Pigeon lavande","Cambérène, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeon-lavande-2203490"
"1752762976-44","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","2 200CFA","Poulet mâle","Keur Massar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-male-2172605"
"1752762976-45","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","3 000CFA","Poulet","Dakar Plateau, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-2132014"
"1752762976-46","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","30 000CFA","Poulet Bleu hollandais","Keur Massar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-bleu-hollandais-2106379"
"1752762976-47","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","30 000CFA","Couple Pigeon Cravate","Cambérène, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-pigeon-cravate-2082389"
"1752762976-48","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","4 200CFA","Poulet","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-2021584"
"1752762976-49","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","2 200CFA","Poulets à vendre et oeufs","Keur Massar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulets-a-vendre-et-oeufs-2002375"
