web-scraper-order,web-scraper-start-url,Prix,Nom,Adresse,Image,Image-href
"1752762516-30","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Paon bleu","Parcelle Assainies, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-1310387"
"1752762516-31","https://sn.coinafrique.com/categorie/autres-animaux?page=6","350 000CFA","Bœufs","Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/bufs-1198114"
"1752762516-32","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Boeuf","Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419"
"1752762516-33","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Mouton ladoum pure sang","Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/mouton-ladoum-pure-sang-1011139"
"1752762516-34","https://sn.coinafrique.com/categorie/autres-animaux?page=6","50 000CFA","Oies  bourbonaises","Thies, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/oies-bourbonaises-990474"
"1752762516-35","https://sn.coinafrique.com/categorie/autres-animaux?page=6","1 000CFA","Caille","Grand Yoff, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/caille-931708"
"1752762516-36","https://sn.coinafrique.com/categorie/autres-animaux?page=6","200 000CFA","Verrat de race Large white","Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/verrat-de-race-large-white-929881"
"1752762516-37","https://sn.coinafrique.com/categorie/autres-animaux?page=6","200 000CFA","Chèvre Balami","Saint Louis, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/chevre-balami-917895"
"1752762516-38","https://sn.coinafrique.com/categorie/autres-animaux?page=6","400 000CFA","Bœuf","Guediawaye, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/buf-885779"
"1752762516-39","https://sn.coinafrique.com/categorie/autres-animaux?page=6","35 000CFA","Poisson d'aquarium","Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/poisson-daquarium-863425"
"1752762516-40","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Perruches","Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/perruches-845280"
"1752762516-41","https://sn.coinafrique.com/categorie/autres-animaux?page=6","50 000CFA","Carpe Koï Japonaise ( Aquarium)","Dakar-Plateau, Dakar, Sénégal","favorite_border5années","https://sn.coinafrique.com/annonce/autres-animaux/carpe-koi-japonaise-aquarium-827220"
"1752762516-42","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Prix sur demande","Perruches","Point E, Dakar, Sénégal","favorite_border6années","https://sn.coinafrique.com/annonce/autres-animaux/perruches-751123"
"1752762522-43","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Prix sur demande","Bœufs","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border3années","https://sn.coinafrique.com/annonce/autres-animaux/bufs-3240329"
